 |       | ttgamma      | ttbar      | ttW      | ttH      | ttZ      | SingleTop      | Vgamma      | ttZZ      | VH      | fourTop      | Zjets      | Wjets      | ttWZ      | WtZ      | ttHH      | threeTop      | ttWH      | ttWW      | VVV      | VV      | tZ      | LQ |
 | gamma_stat_tau-pt-0_bin_8 | 3.52127e-10 / -3.52127e-10 | 1.51331e-10 / -1.51331e-10 | 2.64904e-10 / -2.64904e-10 | 6.99265e-08 / -6.99265e-08 | 2.51032e-10 / -2.51032e-10 | 3.82659e-10 / -3.8266e-10 | 1.42233e-09 / -1.42233e-09 | 5.75262e-08 / -5.75262e-08 | 1.24085e-06 / -1.24085e-06 | 1.44924e-09 / -1.44924e-09 | 1.58235e-07 / -1.58235e-07 | 0.000500386 / -0.000500386 | 2.42597e-08 / -2.42597e-08 | 2.69119e-09 / -2.69119e-09 | 3.59865e-08 / -3.59865e-08 | 1.35378e-08 / -1.35378e-08 | 2.95118e-08 / -2.95118e-08 | 3.77235e-09 / -3.77235e-09 | 1.35182e-07 / -1.35182e-07 | 8.17755e-09 / -8.17755e-09 | 3.88806e-09 / -3.88807e-09 | 0.000640091 / -0.000640091 |
 | gamma_stat_tau-pt-0_bin_9 | 3.90291e-10 / -3.90291e-10 | 1.67733e-10 / -1.67733e-10 | 2.93614e-10 / -2.93615e-10 | 1.92362e-10 / -1.92362e-10 | 2.78239e-10 / -2.78239e-10 | 4.24133e-10 / -4.24133e-10 | 1.57648e-09 / -1.57648e-09 | 6.3761e-08 / -6.3761e-08 | 1.37533e-06 / -1.37533e-06 | 1.60631e-09 / -1.60631e-09 | 1.75384e-07 / -1.75384e-07 | 0.000554619 / -0.000554619 | 2.68891e-08 / -2.68891e-08 | 2.98286e-09 / -2.98286e-09 | 3.98868e-08 / -3.98868e-08 | 1.50051e-08 / -1.50051e-08 | 3.27104e-08 / -3.27104e-08 | 4.18121e-09 / -4.18121e-09 | 1.49834e-07 / -1.49834e-07 | 9.06385e-09 / -9.06386e-09 | 4.30946e-09 / -4.30946e-09 | 0.000580272 / -0.000580272 |
 | gamma_stat_tau-pt-0_bin_10 | 4.33104e-10 / -4.33104e-10 | 1.86132e-10 / -1.86133e-10 | 3.25822e-10 / -3.25823e-10 | 2.13463e-10 / -2.13463e-10 | 3.08761e-10 / -3.0876e-10 | 4.70658e-10 / -4.70658e-10 | 1.74941e-09 / -1.74941e-09 | 7.07552e-08 / -7.07552e-08 | 1.5262e-06 / -1.5262e-06 | 1.78251e-09 / -1.78251e-09 | 1.94623e-07 / -1.94623e-07 | 0.000615457 / -0.000615457 | 2.98387e-08 / -2.98387e-08 | 3.31007e-09 / -3.31007e-09 | 4.42621e-08 / -4.42621e-08 | 1.6651e-08 / -1.6651e-08 | 3.62985e-08 / -3.62985e-08 | 4.63986e-09 / -4.63986e-09 | 1.66269e-07 / -1.66269e-07 | 1.00581e-08 / -1.00581e-08 | 4.78219e-09 / -4.78219e-09 | 0.000525718 / -0.000525718 |
 | gamma_stat_tau-pt-0_bin_11 | 4.9068e-10 / -4.9068e-10 | 2.10876e-10 / -2.10876e-10 | 3.69136e-10 / -3.69136e-10 | 2.4184e-10 / -2.4184e-10 | 3.49806e-10 / -3.49806e-10 | 5.33226e-10 / -5.33226e-10 | 1.98198e-09 / -1.98198e-09 | 8.01612e-08 / -8.01612e-08 | 1.72909e-06 / -1.72909e-06 | 2.01948e-09 / -2.01948e-09 | 2.20496e-07 / -2.20496e-07 | 0.000697274 / -0.000697274 | 3.38053e-08 / -3.38053e-08 | 3.7501e-09 / -3.7501e-09 | 5.01462e-08 / -5.01462e-08 | 1.88646e-08 / -1.88646e-08 | 4.11239e-08 / -4.11239e-08 | 5.25667e-09 / -5.25667e-09 | 1.88373e-07 / -1.88373e-07 | 1.13952e-08 / -1.13952e-08 | 5.41792e-09 / -5.41792e-09 | 0.000469453 / -0.000469453 |
 | gamma_stat_tau-pt-0_bin_12 | 5.76354e-10 / -5.76354e-10 | 2.47696e-10 / -2.47696e-10 | 4.33588e-10 / -4.33588e-10 | 2.84066e-10 / -2.84066e-10 | 4.10883e-10 / -4.10883e-10 | 6.26328e-10 / -6.26328e-10 | 2.32803e-09 / -2.32803e-09 | 9.41575e-08 / -9.41575e-08 | 2.03099e-06 / -2.03099e-06 | 2.37208e-09 / -2.37208e-09 | 2.58995e-07 / -2.58995e-07 | 0.00081902 / -0.00081902 | 3.97078e-08 / -3.97078e-08 | 4.40487e-09 / -4.40487e-09 | 5.89018e-08 / -5.89018e-08 | 2.21584e-08 / -2.21584e-08 | 4.83043e-08 / -4.83043e-08 | 6.1745e-09 / -6.1745e-09 | 2.21263e-07 / -2.21263e-07 | 1.33848e-08 / -1.33848e-08 | 6.3639e-09 / -6.3639e-09 | 0.000404839 / -0.000404839 |
 | gamma_stat_tau-pt-0_bin_13 | 6.52891e-10 / -6.52891e-10 | 2.80589e-10 / -2.80589e-10 | 4.91167e-10 / -4.91167e-10 | 3.21789e-10 / -3.21789e-10 | 4.65446e-10 / -4.65446e-10 | 7.09502e-10 / -7.09502e-10 | 2.63718e-09 / -2.63718e-09 | 1.06661e-07 / -1.06661e-07 | 2.3007e-06 / -2.3007e-06 | 2.68708e-09 / -2.68708e-09 | 2.93388e-07 / -2.93388e-07 | 0.000927782 / -0.000927782 | 4.49808e-08 / -4.49808e-08 | 4.98982e-09 / -4.98982e-09 | 6.67237e-08 / -6.67237e-08 | 2.51009e-08 / -2.51009e-08 | 5.47188e-08 / -5.47188e-08 | 6.99444e-09 / -6.99444e-09 | 2.50646e-07 / -2.50646e-07 | 1.51623e-08 / -1.51623e-08 | 7.20899e-09 / -7.20899e-09 | 0.000363256 / -0.000363256 |
 | gamma_stat_tau-pt-0_bin_14 | 7.80106e-10 / -7.80106e-10 | 3.35261e-10 / -3.35261e-10 | 5.8687e-10 / -5.8687e-10 | 3.84489e-10 / -3.84489e-10 | 5.56138e-10 / -5.56138e-10 | 8.47748e-10 / -8.47748e-10 | 3.15104e-09 / -3.15104e-09 | 1.27444e-07 / -1.27444e-07 | 2.74899e-06 / -2.74899e-06 | 3.21066e-09 / -3.21066e-09 | 3.50554e-07 / -3.50554e-07 | 0.00110856 / -0.00110856 | 5.37453e-08 / -5.37453e-08 | 5.96208e-09 / -5.96208e-09 | 7.97248e-08 / -7.97248e-08 | 2.99918e-08 / -2.99918e-08 | 6.53807e-08 / -6.53807e-08 | 8.3573e-09 / -8.3573e-09 | 2.99484e-07 / -2.99484e-07 | 1.81166e-08 / -1.81166e-08 | 8.61366e-09 / -8.61366e-09 | 0.000315208 / -0.000315208 |
 | gamma_stat_tau-pt-0_bin_15 | 9.34741e-10 / -9.34741e-10 | 4.01718e-10 / -4.01718e-10 | 7.03201e-10 / -7.03201e-10 | 4.60704e-10 / -4.60703e-10 | 6.66377e-10 / -6.66378e-10 | 1.01579e-09 / -1.01579e-09 | 3.77564e-09 / -3.77564e-09 | 1.52706e-07 / -1.52706e-07 | 3.2939e-06 / -3.2939e-06 | 3.84708e-09 / -3.84708e-09 | 4.20042e-07 / -4.20042e-07 | 0.0013283 / -0.0013283 | 6.43988e-08 / -6.43988e-08 | 7.1439e-09 / -7.1439e-09 | 9.55281e-08 / -9.55281e-08 | 3.59369e-08 / -3.59369e-08 | 7.83407e-08 / -7.83407e-08 | 1.00139e-08 / -1.00139e-08 | 3.58848e-07 / -3.58848e-07 | 2.17078e-08 / -2.17078e-08 | 1.03211e-08 / -1.03211e-08 | 0.000271605 / -0.000271605 |
 | gamma_stat_tau-pt-0_bin_16 | 1.11254e-09 / -1.11254e-09 | 4.78128e-10 / -4.78128e-10 | 8.36957e-10 / -8.36957e-10 | 5.48334e-10 / -5.48334e-10 | 7.93129e-10 / -7.93129e-10 | 1.209e-09 / -1.209e-09 | 4.49381e-09 / -4.49381e-09 | 1.81753e-07 / -1.81753e-07 | 3.92043e-06 / -3.92043e-06 | 4.57883e-09 / -4.57883e-09 | 4.99938e-07 / -4.99938e-07 | 0.00158096 / -0.00158096 | 7.66481e-08 / -7.66481e-08 | 8.50274e-09 / -8.50274e-09 | 1.13698e-07 / -1.13698e-07 | 4.27724e-08 / -4.27724e-08 | 9.32419e-08 / -9.32419e-08 | 1.19187e-08 / -1.19187e-08 | 4.27105e-07 / -4.27105e-07 | 2.58368e-08 / -2.58368e-08 | 1.22842e-08 / -1.22842e-08 | 0.000240075 / -0.000240075 |
 | gamma_stat_tau-pt-0_bin_17 | 1.42006e-09 / -1.42006e-09 | 6.10292e-10 / -6.10292e-10 | 1.06831e-09 / -1.06831e-09 | 6.99904e-10 / -6.99904e-10 | 1.01237e-09 / -1.01237e-09 | 1.5432e-09 / -1.5432e-09 | 5.73599e-09 / -5.73599e-09 | 2.31993e-07 / -2.31993e-07 | 5.00411e-06 / -5.00411e-06 | 5.84452e-09 / -5.84452e-09 | 6.38131e-07 / -6.38131e-07 | 0.00201797 / -0.00201797 | 9.78352e-08 / -9.78352e-08 | 1.08531e-08 / -1.08531e-08 | 1.45127e-07 / -1.45127e-07 | 5.45955e-08 / -5.45955e-08 | 1.19016e-07 / -1.19016e-07 | 1.52132e-08 / -1.52132e-08 | 5.45165e-07 / -5.45165e-07 | 3.29786e-08 / -3.29786e-08 | 1.56799e-08 / -1.56799e-08 | 0.000201567 / -0.000201567 |
